customer_id,begin_date,end_date,monthly_charges,total_charges,type_One year,type_Two year,paperless_billing_Yes,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check
3413-BMNZE,2283,0,45.25,45.25,False,False,False,False,False,False
6234-RAAPL,123,0,99.9,7251.7,False,True,False,False,False,False
6047-YHPVI,2069,1,69.7,316.9,False,False,True,False,True,False
6572-ADKRS,913,0,74.8,3548.3,False,False,True,True,False,False
5380-WJKOV,1219,1,106.35,3549.25,False,False,True,False,True,False
8168-UQWWF,1887,1,97.85,1105.4,False,False,True,False,False,False
8865-TNMNX,2008,0,49.55,475.7,True,False,False,False,False,True
9489-DEDVP,182,0,69.2,4872.35,False,True,True,True,False,False
9867-JCZSP,1796,0,20.75,418.25,True,False,False,False,False,True
4671-VJLCL,396,0,79.85,4861.45,False,True,True,True,False,False
4080-IIARD,1918,0,76.2,981.45,False,False,True,False,True,False
3714-NTNFO,822,0,84.5,3906.7,False,False,True,False,True,False
5948-UJZLF,2252,0,49.25,97.0,False,False,False,False,False,True
7760-OYPDY,2222,1,80.65,144.15,False,False,True,False,True,False
7639-LIAYI,730,0,79.75,4217.8,False,True,True,True,False,False
2954-PIBKO,212,0,64.15,4254.1,False,True,True,True,False,False
8012-SOUDQ,1004,0,90.25,3838.75,False,False,True,False,True,False
9420-LOJKX,1796,1,99.1,1426.4,False,False,True,True,False,False
6575-SUVOI,1553,0,69.5,1752.65,False,False,True,True,False,False
7495-OOKFY,1977,1,80.65,633.3,False,False,True,True,False,False
4667-QONEA,488,0,74.85,4456.35,True,False,True,True,False,False
1658-BYGOY,1734,1,95.45,1752.55,False,False,True,False,True,False
8769-KKTPH,396,0,99.65,6311.2,True,False,True,True,False,False
5067-XJQFU,304,0,108.45,7076.35,True,False,True,False,True,False
3957-SQXML,1278,0,24.95,894.3,False,True,False,True,False,False
5954-BDFSG,123,0,107.5,7853.7,False,True,True,True,False,False
0434-CSFON,882,0,100.5,4707.1,False,False,True,False,True,False
1215-FIGMP,488,0,89.9,5450.7,False,False,True,False,False,False
0526-SXDJP,123,0,42.1,2962.0,False,True,False,False,False,False
0557-ASKVU,1765,0,54.4,957.1,True,False,True,True,False,False
5698-BQJOH,2008,1,94.4,857.25,False,False,False,False,True,False
5122-CYFXA,2222,0,75.3,244.1,False,False,True,False,True,False
8627-ZYGSZ,882,0,78.9,3650.35,True,False,True,False,True,False
3410-YOQBQ,1369,0,79.2,2497.2,False,True,False,False,False,True
3170-NMYVV,791,0,20.15,930.9,False,True,False,False,False,False
7410-OIEDU,2008,0,79.85,887.35,False,False,True,False,False,True
2273-QCKXA,2283,0,49.05,49.05,False,False,False,False,False,True
0731-EBJQB,730,0,20.4,1090.65,True,False,True,False,True,False
1891-QRQSA,365,0,111.6,7099.0,False,True,True,False,False,False
8028-PNXHQ,426,0,24.25,1424.6,False,True,True,False,False,False
5630-AHZIL,2222,0,64.5,177.4,False,False,True,False,False,False
2673-CXQEU,608,0,110.5,6139.5,True,False,False,False,True,False
6416-JNVRK,913,0,55.65,2688.85,True,False,False,True,False,False
5590-ZSKRV,2069,0,54.65,482.25,False,False,False,False,False,True
0191-ZHSKZ,1400,0,74.75,2111.3,False,False,True,False,True,False
3887-PBQAO,943,0,25.9,1216.6,True,False,True,True,False,False
5919-TMRGD,2222,1,79.35,79.35,False,False,True,False,True,False
8108-UXRQN,1977,0,50.55,565.35,False,False,False,False,True,False
9191-MYQKX,1977,1,75.15,496.9,False,False,True,False,False,False
9919-YLNNG,1035,0,103.8,4327.5,False,False,True,False,False,False
0318-ZOPWS,822,0,20.15,973.35,False,True,True,False,False,False
4445-ZJNMU,2038,0,99.3,918.75,False,False,True,True,False,False
4808-YNLEU,1247,0,62.15,2215.45,True,False,True,False,False,False
1862-QRWPE,853,0,20.65,1057.0,False,True,False,False,False,False
2796-NNUFI,913,0,19.95,927.1,False,True,True,False,False,True
3016-KSVCP,1431,0,33.75,1009.25,False,False,False,False,False,True
4767-HZZHQ,1400,0,82.05,2570.2,False,False,False,False,False,False
2424-WVHPL,2283,0,74.7,74.7,False,False,False,False,True,False
7233-PAHHL,304,0,84.0,5714.25,False,True,True,False,False,True
6067-NGCEU,335,0,111.05,7107.0,False,False,True,True,False,False
9848-JQJTX,123,0,100.9,7459.05,False,True,True,False,False,False
8637-XJIVR,1887,1,78.95,927.35,False,False,True,False,True,False
9803-FTJCG,151,0,66.85,4748.7,True,False,True,True,False,False
0278-YXOOG,2069,1,21.05,113.85,False,False,False,False,False,True
3212-KXOCR,730,0,21.0,1107.2,False,True,False,False,False,False
4598-XLKNJ,1522,1,98.5,2514.5,False,False,True,False,True,False
6380-ARCEH,2283,0,20.2,20.2,False,False,False,False,False,True
3679-XASPY,2283,0,19.45,19.45,False,False,False,False,True,False
7123-WQUHX,1157,0,95.0,3605.6,True,False,False,False,False,False
5386-THSLQ,304,0,45.55,3027.25,True,False,False,False,False,False
3192-NQECA,151,1,110.0,7611.85,False,True,True,False,False,False
6180-YBIQI,2161,0,24.3,100.2,False,False,False,False,False,True
6728-DKUCO,123,0,104.15,7303.05,True,False,True,False,True,False
9750-BOOHV,1339,0,30.15,927.65,True,False,False,False,False,True
8597-CWYHH,1004,0,94.35,3921.3,True,False,False,False,False,True
2848-YXSMW,123,0,19.4,1363.25,False,True,False,True,False,False
0486-HECZI,577,1,96.75,5238.9,False,False,True,False,True,False
4549-ZDQYY,730,0,57.95,3042.25,True,False,False,True,False,False
5712-AHQNN,1004,0,91.65,3954.1,False,False,True,False,True,False
4846-WHAFZ,1096,1,76.5,2868.15,False,False,True,False,True,False
5256-SKJGO,365,0,54.6,3423.5,False,True,True,False,True,False
3071-VBYPO,2222,0,89.85,248.4,False,False,False,False,True,False
9560-BBZXK,1219,0,31.05,1126.35,False,True,False,False,False,False
5299-RULOA,1949,1,100.25,1064.65,False,False,True,False,True,False
8402-OOOHJ,1066,0,20.65,835.15,False,True,False,False,False,True
9445-ZUEQE,1492,0,85.2,2151.6,False,False,True,True,False,False
1091-SOZGA,608,0,99.8,5515.45,True,False,True,True,False,False
2928-HLDBA,2130,0,20.7,112.75,False,False,False,False,False,True
0404-SWRVG,2161,1,74.4,229.55,False,False,True,False,True,False
6497-TILVL,2099,0,50.7,350.35,False,False,False,False,False,True
7219-TLZHO,2191,0,20.85,62.9,False,False,False,False,False,True
4622-YNKIJ,1308,0,88.95,3027.65,False,True,True,False,True,False
4412-YLTKF,1461,1,78.05,2135.5,False,False,True,False,True,False
6734-PSBAW,123,0,23.55,1723.95,False,True,True,False,False,False
3930-ZGWVE,2283,0,19.75,19.75,False,False,False,False,False,True
2639-UGMAZ,151,0,56.45,3985.35,True,False,True,False,True,False
2876-GZYZC,1918,0,85.95,1215.65,False,False,True,False,True,False
6207-WIOLX,1522,1,58.6,1502.65,False,False,True,True,False,False
8587-XYZSF,273,0,50.55,3260.1,False,True,False,False,False,False
3091-FYHKI,2252,1,35.45,35.45,False,False,True,False,True,False
2372-HWUHI,2222,1,44.35,81.25,False,False,False,False,True,False
7799-LGRDP,1004,0,25.7,1188.2,False,True,True,True,False,False
7850-VWJUU,1612,0,75.0,1778.5,False,False,True,False,False,False
3774-VBNXY,365,0,20.2,1277.75,False,True,False,False,False,True
6217-KDYWC,577,0,19.6,1170.55,False,True,True,False,False,True
0390-DCFDQ,2191,1,70.45,70.45,False,False,True,False,False,True
3146-MSEGF,123,0,88.05,6425.65,False,True,True,True,False,False
4080-OGPJL,1949,1,71.15,563.65,False,False,False,False,True,False
1095-WGNGG,457,0,101.05,5971.25,False,True,True,False,False,False
2636-SJDOU,365,0,84.3,5289.05,True,False,True,True,False,False
1131-QQZEB,151,0,23.95,1756.2,False,True,False,False,False,False
5716-EZXZN,335,0,99.05,6416.7,False,True,True,True,False,False
6837-BJYDQ,2222,0,19.6,61.35,True,False,False,False,False,True
2135-RXIHG,2252,1,45.65,45.65,False,False,True,False,True,False
6440-DKQGE,1400,0,64.5,1929.95,True,False,False,True,False,False
3466-BYAVD,1857,0,69.5,1071.4,False,False,True,False,False,True
3780-YVMFA,2069,0,68.55,564.35,False,False,True,False,True,False
3874-EQOEP,2069,1,95.0,655.5,False,False,False,False,False,True
1679-JRFBR,182,0,108.15,7930.55,True,False,True,True,False,False
9073-ZZIAY,426,0,86.1,5215.25,False,True,False,False,True,False
3077-RSNTJ,2130,0,19.7,113.5,False,False,False,False,False,True
6551-GNYDG,1887,0,80.9,1152.8,False,False,True,False,False,False
9167-APMXZ,1643,0,84.15,1821.95,False,False,True,False,False,False
2749-CTKAJ,1643,0,20.15,419.9,True,False,False,False,False,True
6371-NZYEG,1826,0,64.25,1024.0,False,True,False,False,False,True
7554-NEWDD,2008,0,25.7,251.6,False,True,False,False,False,False
8992-VONJD,1918,0,56.0,764.55,False,False,True,False,True,False
0867-MKZVY,1612,1,82.4,1592.35,False,False,False,False,True,False
4482-EWFMI,2252,0,69.7,135.2,False,False,True,False,True,False
4648-YPBTM,700,0,73.9,3958.25,False,True,True,False,False,False
2907-ILJBN,1977,0,20.6,233.9,True,False,False,False,False,True
6345-FZOQH,212,0,19.9,1363.45,False,True,False,False,False,True
3376-BMGFE,2099,1,70.9,273.0,False,False,True,False,False,False
5997-OPVFA,123,0,89.05,6254.45,False,True,True,False,False,False
3445-HXXGF,516,1,45.3,2651.2,False,False,True,False,True,False
1159-WFSGR,1826,0,20.4,321.4,False,False,False,False,True,False
7654-YWJUF,1004,0,84.25,3539.25,True,False,True,False,False,False
1875-QIVME,2222,1,104.4,242.8,False,False,True,False,True,False
6727-IOTLZ,1887,0,81.95,1181.75,False,True,False,False,False,True
0691-JVSYA,577,1,94.85,5000.2,True,False,True,False,False,False
5918-VUKWP,1339,0,20.55,654.55,True,False,False,False,False,False
1744-JHKYS,1278,0,24.7,780.2,False,False,False,False,True,False
2656-FMOKZ,1734,1,74.45,1145.7,False,False,True,False,False,True
2070-FNEXE,2069,1,76.45,503.6,False,False,False,False,False,False
5947-SGKCL,1857,0,105.35,1559.25,False,False,True,False,False,False
3712-PKXZA,457,0,20.55,1252.0,True,False,True,True,False,False
6317-YPKDH,2252,1,29.95,29.95,False,False,False,False,False,False
6582-OIVSP,2283,0,45.3,45.3,False,False,False,False,False,True
9367-WXLCH,1949,1,84.5,662.65,False,False,False,False,False,False
5524-KHNJP,1308,0,74.75,2453.3,True,False,False,True,False,False
1918-ZBFQJ,1796,1,79.25,1111.65,False,False,True,False,True,False
1024-GUALD,2191,1,24.8,24.8,False,False,True,False,True,False
4827-USJHP,1704,0,51.8,1023.85,False,False,True,False,False,True
8167-GJLRN,2222,0,30.4,82.15,False,False,False,False,True,False
0956-SYCWG,1918,0,19.65,244.8,True,False,False,False,True,False
8017-UVSZU,1096,0,56.6,2379.1,False,False,False,True,False,False
7100-FQPRV,1004,0,71.9,3173.35,True,False,True,True,False,False
2472-OVKUP,2099,1,91.0,531.0,False,False,True,False,True,False
2984-RGEYA,212,0,19.75,1375.4,False,True,False,False,False,False
9680-NIAUV,123,0,109.7,8129.3,False,True,False,True,False,False
2146-EGVDT,516,0,19.3,1192.7,False,True,False,True,False,False
2604-IJPDU,1704,0,96.55,1901.65,False,False,True,False,True,False
9178-JHUVJ,1584,0,24.1,587.4,False,True,True,False,False,False
6168-YBYNP,516,0,111.35,6519.75,False,False,True,False,True,False
7255-SSFBC,123,0,112.25,8041.65,False,True,True,False,False,False
3645-DEYGF,2283,0,20.75,20.75,False,False,False,False,False,True
9323-HGFWY,1492,0,101.9,2681.15,True,False,True,True,False,False
8544-GOQSH,1887,0,80.05,1112.3,False,False,True,True,False,False
3363-DTIVD,151,0,105.55,7405.5,False,True,False,False,True,False
7018-WBJNK,1918,0,78.3,1033.95,False,False,True,True,False,False
9142-KZXOP,974,0,68.85,2958.95,False,False,False,True,False,False
7674-YTAFD,1308,0,79.95,2684.85,True,False,True,False,False,False
6348-SNFUS,123,0,55.45,4179.2,False,True,True,True,False,False
1285-OKIPP,2252,1,79.9,79.9,False,False,False,False,True,False
7825-ECJRF,1704,1,106.6,1934.45,False,False,True,False,True,False
1347-KTTTA,365,0,102.45,6654.1,True,False,True,True,False,False
7841-TZDMQ,2191,1,46.0,84.5,False,False,True,True,False,False
4195-NZGTA,2283,0,25.25,25.25,False,False,False,False,True,False
7157-SMCFK,457,0,19.75,1124.2,False,True,False,False,False,True
4709-LKHYG,1431,0,20.0,540.05,True,False,False,False,True,False
2504-DSHIH,1612,0,86.8,1975.85,False,False,False,False,True,False
0699-NDKJM,577,0,58.75,3437.45,False,False,True,False,False,False
9286-BHDQG,123,0,45.25,3139.8,False,True,False,True,False,False
0230-WEQUW,304,0,56.6,3789.2,False,True,True,False,False,False
2040-LDIWQ,335,0,84.2,5324.5,False,True,True,False,False,False
6496-JDSSB,2069,0,80.0,624.6,False,False,True,False,False,False
9408-SSNVZ,2161,1,70.15,268.35,False,False,True,False,True,False
4443-EMBNA,151,0,24.75,1836.9,False,True,False,False,False,False
6469-MRVET,2283,0,20.2,20.2,True,False,True,False,True,False
0742-MOABM,2099,1,50.05,179.35,False,False,False,False,False,True
5961-VUSRV,1949,0,19.35,219.35,True,False,True,False,False,False
6778-JFCMK,1584,0,50.6,1288.75,True,False,True,False,False,True
6341-JVQGF,1369,0,81.15,2545.75,True,False,True,False,False,True
2232-DMLXU,2252,1,55.2,55.2,False,False,False,False,False,True
4811-JBUVU,1400,0,89.9,2723.15,False,False,True,True,False,False
0945-TSONX,882,0,85.3,4107.25,False,True,True,True,False,False
2651-ZCBXV,669,0,108.0,5760.65,False,True,True,True,False,False
3316-UWXUY,791,0,93.5,4747.5,False,False,True,True,False,False
8937-RDTHP,2191,1,84.6,84.6,False,False,True,False,False,True
7083-MIOPC,123,0,20.25,1566.9,False,True,False,True,False,False
1984-GPTEH,1431,0,25.15,702.0,False,False,False,False,True,False
1251-KRREG,2191,1,54.4,114.1,False,False,True,False,False,True
0621-JFHOL,2008,0,29.6,299.05,False,True,True,False,False,True
9903-LYSAB,1765,0,73.15,1305.95,False,False,True,False,True,False
0094-OIFMO,1887,1,95.0,1120.3,False,False,True,False,True,False
9227-UAQFT,1826,0,19.75,284.35,False,True,False,False,False,True
7301-ABVAD,123,0,86.6,6350.5,False,True,False,False,False,False
6614-FHDBO,123,0,109.2,7878.3,False,True,False,False,False,False
7576-ASEJU,1066,0,74.7,3187.65,True,False,True,True,False,False
9058-HRZSV,335,0,94.4,6126.15,False,False,False,False,True,False
4522-AKYLR,1918,0,54.8,731.3,False,False,True,False,True,False
0221-WMXNQ,2191,0,75.35,273.4,False,False,False,False,True,False
0303-UNCIP,1066,0,65.0,2531.8,True,False,False,False,False,True
9947-OTFQU,1826,1,74.4,1074.3,False,False,True,False,True,False
0322-YINQP,2161,1,48.55,48.55,False,False,True,False,False,True
0959-WHOKV,1035,0,99.0,4298.45,True,False,True,False,True,False
4075-JFPGR,761,0,93.5,4619.55,True,False,True,False,True,False
4629-NRXKX,2161,1,70.4,147.15,False,False,False,False,True,False
9514-JDSKI,2222,1,40.2,40.2,False,False,False,False,True,False
3282-ZISZV,1339,0,83.7,2633.3,True,False,False,True,False,False
3675-YDUPJ,2008,0,19.85,193.05,False,False,True,False,False,True
4111-BNXIF,273,0,59.55,4103.9,False,True,True,False,True,False
7017-VFHAY,457,0,115.1,7008.15,False,True,False,True,False,False
6655-LHBYW,791,0,114.35,5791.1,True,False,False,True,False,False
4959-JOSRX,2130,1,44.6,80.55,False,False,True,True,False,False
5046-NUHWD,1431,0,45.0,1228.65,False,False,True,False,True,False
7273-TEFQD,2130,1,41.15,132.2,False,False,True,False,True,False
3606-TWKGI,1887,1,106.9,1364.3,False,False,True,False,True,False
7529-ZDFXI,577,0,89.85,4925.35,False,False,True,False,True,False
7605-BDWDC,1369,0,49.85,1520.1,False,True,True,False,False,False
1950-KSVVJ,943,0,113.3,5032.25,True,False,False,False,False,True
0123-CRBRT,457,0,88.1,5526.75,False,True,False,False,False,True
6292-TOSSS,791,0,24.9,1195.25,False,True,False,False,False,False
3197-ARFOY,1734,0,105.0,2007.25,False,False,True,False,False,True
6323-AYBRX,488,1,19.35,1099.6,False,True,False,False,False,True
7014-ZZXAW,151,0,24.25,1732.95,False,True,True,True,False,False
4385-GZQXV,1704,1,94.45,1511.2,False,False,True,False,True,False
7633-MVPUY,577,0,59.75,3450.15,False,True,True,False,True,False
6366-ZGQGL,2222,1,24.8,24.8,False,False,False,False,False,False
4716-HHKQH,1704,0,107.05,2172.05,False,False,False,False,True,False
5940-AHUHD,2252,1,70.6,70.6,False,False,False,False,False,True
6432-TWQLB,2038,1,85.4,401.1,False,False,True,False,True,False
4484-GLZOU,700,1,105.05,5624.85,False,False,True,False,True,False
3179-GBRWV,1673,0,64.95,1339.8,False,False,True,False,False,False
8645-KWHJO,1887,0,55.0,771.95,False,False,True,False,True,False
4130-MZLCC,2161,0,50.55,244.75,False,False,False,False,False,False
0314-TKOSI,2130,0,55.15,322.9,False,False,False,False,False,True
8229-MYEJZ,2008,0,51.2,498.25,False,False,False,False,True,False
2080-SRCDE,2283,0,25.4,25.4,False,False,False,False,False,True
9577-WJVCQ,243,0,54.45,3687.75,False,False,False,False,False,True
9512-UIBFX,1704,1,95.15,1779.95,False,False,False,False,False,True
6202-DYYFX,1643,0,76.0,1783.6,True,False,True,True,False,False
3808-HFKDE,1704,0,44.35,927.15,False,False,True,False,True,False
5583-SXDAG,2161,1,70.0,70.0,False,False,False,False,True,False
3488-PGMQJ,1949,1,74.5,606.55,False,False,True,False,True,False
3580-REOAC,1977,1,44.85,435.4,False,False,True,True,False,False
7534-BFESC,1492,1,76.1,1712.7,False,False,True,False,True,False
3727-OWVYD,1247,0,61.2,2021.2,True,False,False,False,False,True
2294-SALNE,1612,0,86.8,1940.8,True,False,False,False,False,True
4847-TAJYI,2130,0,89.35,567.8,False,False,True,False,True,False
1563-IWQEX,1949,0,19.7,220.35,False,False,False,False,False,True
8203-XJZRC,2283,0,20.25,20.25,False,False,False,False,False,True
6556-DBKZF,151,0,76.05,5436.45,False,True,False,False,True,False
6851-WEFYX,1247,0,100.8,3437.5,False,False,True,False,True,False
2985-JUUBZ,1096,0,74.55,3015.75,False,False,True,False,True,False
6390-DSAZX,2222,1,73.6,73.6,False,False,True,False,False,True
0895-LMRSF,1612,0,64.9,1509.8,True,False,True,False,False,False
8098-LLAZX,2069,1,95.45,396.1,False,False,True,False,True,False
8266-VBFQL,2191,0,90.4,356.65,False,False,True,False,True,False
8181-YHCMF,243,0,60.3,4109.0,False,True,False,True,False,False
2240-HSJQD,1157,0,81.85,3141.7,False,False,True,False,False,True
1248-DYXUB,730,0,24.8,1229.1,False,True,False,False,False,True
0265-EDXBD,1278,1,74.9,2303.35,False,False,True,False,True,False
4115-BNPJY,1431,0,75.55,2054.4,False,True,False,False,False,True
3167-SNQPL,1157,0,101.15,3741.85,False,False,False,False,True,False
4091-TVOCN,853,0,78.75,3682.45,True,False,True,True,False,False
1098-TDVUQ,2283,0,19.25,19.25,False,False,True,False,False,False
7277-OZCGZ,1643,0,89.05,1886.25,False,False,True,False,True,False
1557-EMYVT,1004,0,115.05,4895.1,False,True,False,True,False,False
2799-ARNLO,2161,0,69.35,341.6,False,False,True,False,True,False
7563-BIUPC,2038,1,80.6,415.55,False,False,True,False,True,False
5027-YOCXN,761,0,110.05,5686.4,True,False,False,True,False,False
3973-SKMLN,151,0,19.9,1355.1,False,True,True,True,False,False
2321-OMBXY,1035,1,80.3,3058.65,True,False,False,True,False,False
2840-XANRC,1522,1,93.15,2231.05,False,False,True,False,True,False
6745-JEFZB,1247,0,91.5,3236.35,False,False,True,True,False,False
5020-ZSTTY,577,1,82.45,4350.1,True,False,False,False,False,False
9880-TDQAC,123,0,60.0,4264.0,False,True,True,False,True,False
8705-WZCYL,2283,0,44.8,44.8,False,False,True,False,True,False
7102-JJVTX,2038,0,48.6,422.3,True,False,False,False,False,True
8626-PTQGE,212,0,60.05,4176.7,False,True,True,False,False,False
4983-CLMLV,730,0,102.7,5138.1,False,False,True,True,False,False
5701-YVSVF,1977,0,82.9,880.05,False,False,True,False,True,False
5804-LEPIM,2191,1,70.35,139.05,False,False,True,False,True,False
5697-GOMBF,1461,0,35.9,973.65,False,False,True,False,True,False
2739-CACDQ,1796,0,82.65,1470.05,False,False,True,True,False,False
9385-EHGDO,1247,0,19.85,739.35,False,True,True,False,False,True
9498-FIMXL,2069,0,19.2,161.95,True,False,True,False,False,True
2379-GYFLQ,913,0,94.9,4422.95,True,False,True,True,False,False
0122-OAHPZ,2038,1,73.85,511.25,False,False,True,False,True,False
2868-SNELZ,2191,1,80.6,155.8,False,False,False,False,False,True
4322-RCYMT,151,1,75.8,5293.95,True,False,True,False,False,False
6680-NENYN,943,1,104.6,4759.85,False,True,True,False,True,False
2088-IEBAU,243,0,88.15,6148.45,False,True,True,False,True,False
7982-VCELR,1219,0,94.8,3565.65,False,False,True,True,False,False
1343-EHPYB,335,1,103.4,6603.0,False,False,True,False,True,False
6035-BXTTY,1339,0,54.65,1830.1,False,False,False,False,False,False
6885-PKOAM,151,0,85.75,6223.8,False,True,False,True,False,False
7520-HQWJU,304,0,67.45,4508.65,False,False,True,False,False,False
9639-BUJXT,396,0,20.5,1328.15,True,False,False,False,False,True
5924-SNGKP,1066,0,20.25,865.0,True,False,True,True,False,False
0021-IKXGC,2283,0,72.1,72.1,False,False,True,False,True,False
2034-GDRCN,2222,1,90.4,168.2,False,False,True,False,True,False
8966-SNIZF,182,0,19.45,1303.5,False,True,False,False,False,False
6243-OZGFH,1612,0,44.95,996.85,False,False,True,False,True,False
4654-DLAMQ,365,0,97.0,6430.9,True,False,False,False,False,False
0513-RBGPE,1188,0,62.8,2278.75,False,True,True,True,False,False
5160-UXJED,1796,0,44.6,681.4,True,False,False,False,False,True
4115-NZRKS,2099,0,89.15,574.35,False,False,True,False,True,False
0219-YTZUE,2099,1,84.8,371.9,False,False,True,False,False,False
0623-IIHUG,1643,1,41.9,840.1,False,False,True,False,True,False
4572-DVCGN,1918,1,80.25,846.0,False,False,True,False,False,False
3351-NGXYI,1826,0,54.1,889.0,False,False,True,False,True,False
8984-EYLLL,365,0,105.25,6823.4,False,True,True,False,True,False
9057-MSWCO,1461,1,30.75,805.1,False,False,False,True,False,False
9833-TGFHX,1035,0,97.1,4016.75,True,False,False,False,True,False
9294-TDIPC,2161,0,20.2,83.75,False,False,False,False,False,True
5229-DTFYB,1066,0,98.8,3959.15,False,True,True,False,False,False
0104-PPXDV,547,0,50.3,2878.55,True,False,False,True,False,False
5176-LMJXE,882,0,20.55,945.7,False,True,True,False,False,True
3583-KRKMD,1765,0,75.9,1373.05,False,False,True,False,False,False
1010-DIAUQ,2130,1,96.5,492.55,False,False,False,False,False,False
9069-LGEUL,1612,0,59.95,1406.0,False,False,True,False,False,False
7302-ZHMHP,2283,0,19.15,19.15,False,False,False,False,False,True
9571-EDEBV,151,0,98.65,6962.85,True,False,True,True,False,False
3520-FJGCV,123,0,112.6,8126.65,False,True,True,True,False,False
6563-VRERX,1308,0,20.6,690.25,True,False,False,False,False,True
0259-GBZSH,2130,1,85.65,181.5,False,False,True,False,True,False
6122-EFVKN,1584,0,35.75,830.8,False,True,False,False,False,True
2805-EDJPQ,608,0,99.75,5608.4,True,False,True,True,False,False
6862-CQUMB,1188,0,96.1,3646.8,False,False,True,True,False,False
7156-MXBJE,1004,0,85.1,3662.25,True,False,False,True,False,False
6158-HDPXZ,2283,0,25.35,25.35,False,False,False,False,False,True
9601-BRXPO,1492,1,104.95,2566.5,False,False,True,False,False,False
2863-IMQDR,457,0,89.65,5308.7,False,True,False,False,True,False
5686-CMAWK,1796,0,86.75,1410.25,True,False,False,False,True,False
5651-CRHKQ,1066,0,86.2,3339.05,True,False,True,False,False,False
6905-NIQIN,2161,1,50.65,50.65,False,False,False,False,False,True
8204-YJCLA,123,0,64.8,4732.35,False,True,True,False,False,False
5167-ZFFMM,2191,1,90.85,90.85,False,False,True,True,False,False
6583-SZVGP,853,0,108.1,5067.45,False,True,True,False,False,False
4895-TMWIR,1918,1,19.95,214.75,False,False,False,False,False,True
0533-BNWKF,577,1,85.45,4874.7,False,False,True,False,True,False
1708-PBBOA,1035,0,54.75,2348.45,True,False,True,False,True,False
8782-LKFPK,974,0,90.4,4063.0,False,False,True,False,False,True
5522-JBWMO,2283,0,44.0,44.0,False,False,False,False,True,False
3597-MVHJT,1492,0,95.6,2595.25,False,False,True,False,False,False
9774-NRNAU,1492,0,84.8,2309.55,False,False,True,False,False,False
0224-RLWWD,2252,0,44.3,89.3,False,False,True,False,True,False
9967-ATRFS,1734,0,19.9,367.55,False,False,False,False,False,True
3951-NJCVI,1035,0,95.05,3944.5,False,False,True,False,True,False
2977-CEBSX,304,0,90.05,5965.95,False,True,True,True,False,False
0177-PXBAT,1308,0,109.9,3694.7,False,False,True,False,False,False
6599-CEBNN,1247,1,73.95,2524.45,False,False,True,True,False,False
2519-ERQOJ,1308,0,54.6,1803.7,False,False,True,False,True,False
5876-QMYLD,1612,0,20.05,415.1,True,False,False,False,False,True
2277-AXSDC,1339,0,19.75,624.15,True,False,False,False,False,False
9442-JTWDL,1977,0,20.05,237.7,True,False,False,True,False,False
